rep,alpha,eps,method,interval_width,coverage
8,0.075,0.25,naive,3.560928683384051,1.0
8,0.075,0.25,fission,3.5609286833840508,1.0
8,0.075,0.25,stability,7.6651237885872625,1.0
8,0.1,0.25,oracle,5.78981075159169,
8,0.1,0.25,naive,3.289707253902944,0.0
8,0.1,0.25,fission,3.2898385800016716,0.0
8,0.1,0.25,stability,7.4616994258432126,1.0
8,0.2,0.25,oracle,3.4784606071433997,
8,0.2,0.25,naive,2.5631031310892007,0.0
8,0.2,0.25,fission,2.56310516336643,1.0
8,0.2,0.25,stability,6.944924919738268,1.0
8,0.3,0.25,oracle,2.843323617311719,
8,0.3,0.25,naive,2.0728667789875797,0.0
8,0.3,0.25,fission,2.0728667799327765,1.0
8,0.3,0.25,stability,6.622525464336059,1.0
8,0.4,0.25,oracle,0.5340275897244716,
8,0.4,0.25,naive,1.6832424671458286,1.0
8,0.4,0.25,fission,1.6832428038565306,1.0
8,0.4,0.25,stability,6.383312526783014,1.0
8,0.5,0.25,oracle,2.018030186534423,
8,0.5,0.25,naive,1.3489795003921632,0.0
8,0.5,0.25,fission,1.348980202384654,1.0
8,0.5,0.25,stability,6.191094146901953,1.0
8,0.6,0.25,oracle,5.78981075159169,
8,0.6,0.25,naive,1.0488010254160818,0.0
8,0.6,0.25,fission,1.2189733618215328,0.0
8,0.6,0.25,stability,6.029318873429656,1.0
8,0.7,0.25,oracle,5.78981075159169,
8,0.7,0.25,naive,0.7706409328151356,0.0
8,0.7,0.25,fission,1.11276578727752,0.0
8,0.7,0.25,stability,5.888971983549831,1.0
8,0.8,0.25,oracle,2.11445500062939,
8,0.8,0.25,naive,0.5066942062715993,0.0
8,0.8,0.25,fission,0.5117869529452456,1.0
8,0.8,0.25,stability,5.764577992445349,1.0
8,0.9,0.25,oracle,5.78981075159169,
8,0.9,0.25,naive,0.25132269371014804,0.0
8,0.9,0.25,fission,0.2513226960463921,0.0
8,0.9,0.25,stability,5.652551489885042,0.0
9,0.0125,0.25,oracle,0.5927575827692996,
9,0.0125,0.25,naive,4.995410948824748,1.0
9,0.0125,0.25,fission,4.996461155402956,1.0
9,0.0125,0.25,stability,8.815036000078067,1.0
9,0.025,0.25,oracle,1.0214511479711679,
9,0.025,0.25,naive,4.482805455209894,1.0
9,0.025,0.25,fission,4.490904439042066,1.0
9,0.025,0.25,stability,8.391122661459386,1.0
9,0.05,0.25,oracle,1.1521606605898298,
9,0.05,0.25,naive,3.919927969080108,1.0
9,0.05,0.25,fission,3.920289006556078,1.0
9,0.05,0.25,stability,7.942012015311764,1.0
9,0.075,0.25,oracle,3.9123129928371343,
9,0.075,0.25,naive,3.560928683384051,0.0
9,0.075,0.25,fission,3.5609466555759814,1.0
9,0.075,0.25,stability,7.665123788587263,1.0
9,0.1,0.25,oracle,3.3130874146795954,
9,0.1,0.25,naive,3.2897072539029444,0.0
9,0.1,0.25,fission,3.289722336577298,1.0
9,0.1,0.25,stability,7.4616994258432126,1.0
9,0.2,0.25,oracle,3.9123129928371343,
9,0.2,0.25,naive,2.5631031310892007,0.0
9,0.2,0.25,fission,2.845928487014711,1.0
9,0.2,0.25,stability,6.944924919738268,1.0
9,0.3,0.25,oracle,1.434526399982201,
9,0.3,0.25,naive,2.0728667789875797,1.0
9,0.3,0.25,fission,2.073130488844072,0.0
9,0.3,0.25,stability,6.622525464336059,1.0
9,0.4,0.25,oracle,0.06822556060490481,
9,0.4,0.25,naive,1.6832424671458286,1.0
9,0.4,0.25,fission,1.6840113917671493,1.0
9,0.4,0.25,stability,6.383312526783014,1.0
9,0.5,0.25,oracle,1.1521606605898298,
9,0.5,0.25,naive,1.3489795003921636,1.0
9,0.5,0.25,fission,1.349007689531514,1.0
9,0.5,0.25,stability,6.191094146901953,1.0
9,0.6,0.25,oracle,3.9123129928371343,
9,0.6,0.25,naive,1.0488010254160816,0.0
9,0.6,0.25,fission,1.0488012425831417,0.0
9,0.6,0.25,stability,6.029318873429656,1.0
9,0.7,0.25,oracle,3.449120792780343,
9,0.7,0.25,naive,0.7706409328151353,0.0
9,0.7,0.25,fission,0.8044318065869244,0.0
9,0.7,0.25,stability,5.888971983549831,1.0
9,0.8,0.25,oracle,3.3130874146795954,
9,0.8,0.25,naive,0.5066942062715993,0.0
9,0.8,0.25,fission,0.5347097464447524,0.0
9,0.8,0.25,stability,5.764577992445349,1.0
9,0.9,0.25,oracle,1.010251720843861,
9,0.9,0.25,naive,0.25132269371014826,0.0
9,0.9,0.25,fission,0.2514658868453774,0.0
9,0.9,0.25,stability,5.652551489885042,1.0
10,0.0125,0.25,oracle,5.386187874306977,
10,0.0125,0.25,naive,4.995410948824748,0.0
10,0.0125,0.25,fission,5.4636003665271335,1.0
10,0.0125,0.25,stability,8.815036000078067,1.0
10,0.025,0.25,oracle,2.8183848858227636,
10,0.025,0.25,naive,4.482805455209894,1.0
10,0.025,0.25,fission,4.482805455517919,1.0
10,0.025,0.25,stability,8.391122661459386,1.0
10,0.05,0.25,oracle,0.0379180851924838,
10,0.05,0.25,naive,3.919927969080108,1.0
10,0.05,0.25,fission,3.920096295879563,1.0
10,0.05,0.25,stability,7.942012015311764,1.0
10,0.075,0.25,oracle,1.5126330272863526,
10,0.075,0.25,naive,3.560928683384051,1.0
10,0.075,0.25,fission,3.5637070295630338,1.0
10,0.075,0.25,stability,7.665123788587263,1.0
10,0.1,0.25,oracle,0.2654939413793003,
10,0.1,0.25,naive,3.2897072539029444,1.0
10,0.1,0.25,fission,3.28978840321878,1.0
10,0.1,0.25,stability,7.4616994258432126,1.0
10,0.2,0.25,oracle,2.436117435564788,
10,0.2,0.25,naive,2.5631031310892007,1.0
10,0.2,0.25,fission,2.563412677126187,1.0
10,0.2,0.25,stability,6.944924919738268,1.0
10,0.3,0.25,oracle,3.961532637064603,
10,0.3,0.25,naive,2.0728667789875797,0.0
10,0.3,0.25,fission,2.1786851774635787,0.0
10,0.3,0.25,stability,6.622525464336059,1.0
